status,returncode,link,method,scenario_mode,base_config_name,generated_config_name,decision_tag,is_base_configuration,seed,train_seeds,highlighted_configuration,run_started_at_local,run_completed_at_local,duration_seconds,initial_total_latency,final_total_latency,delta_final_total_latency_vs_base,total_latency_reduction_percent,delta_total_latency_reduction_percent_vs_base,initial_asynchronality_sum,final_asynchronality_sum,delta_final_asynchronality_sum_vs_base,asynchronality_reduction_percent,delta_asynchronality_reduction_percent_vs_base,initial_avg_snr_db,final_avg_snr_db,delta_final_avg_snr_db_vs_base,initial_avg_sinr_db,final_avg_sinr_db,delta_final_avg_sinr_db_vs_base,total_served_bits,delta_total_served_bits_vs_base,total_skipped_blocks,delta_total_skipped_blocks_vs_base,total_target_bits,total_unserved_bits,training_solve_status,epochs_completed,last_epoch_feasible_rollout_queries,last_epoch_total_rollout_queries,last_epoch_feasible_rollout_fraction,result_json_path,log_path,effective_decisions_json,decision_label,decision_path,decision_value,selection_type
,,uplink,convergence,,uplink_payload_completion.yaml,,upd-dir__loss-aug__rate-sinr,,,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=sinr,,,,,0.03166666666666666,,15.480427046263346,,,,,,,,,,,-3.3104415762666957,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_sinr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-sinr.log,,Uplink rate model,simulation.uplink_rate_model,sinr,best_final_total_latency
,,uplink,convergence,,uplink_payload_completion.yaml,,upd-dir__loss-aug__rate-sinr,,,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=sinr,,,,,0.03166666666666666,,15.480427046263346,,,,,,,,,,,-3.3104415762666957,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_sinr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-sinr.log,,Uplink rate model,simulation.uplink_rate_model,sinr,best_latency_reduction_percent
,,uplink,convergence,,uplink_payload_completion.yaml,,upd-dir__loss-aug__rate-snr,,,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=snr,,,,,0.02466666666666667,,19.73969631236442,,,,,,,,,,,-3.373182097227485,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-snr.log,,Uplink rate model,simulation.uplink_rate_model,snr,best_final_total_latency
,,uplink,convergence,,uplink_payload_completion.yaml,,upd-dir__loss-aug__rate-snr,,,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=snr,,,,,0.02466666666666667,,19.73969631236442,,,,,,,,,,,-3.373182097227485,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-snr.log,,Uplink rate model,simulation.uplink_rate_model,snr,best_latency_reduction_percent
