status,returncode,link,method,scenario_mode,base_config_name,generated_config_name,decision_tag,is_base_configuration,seed,train_seeds,highlighted_configuration,run_started_at_local,run_completed_at_local,duration_seconds,initial_total_latency,final_total_latency,delta_final_total_latency_vs_base,total_latency_reduction_percent,delta_total_latency_reduction_percent_vs_base,initial_asynchronality_sum,final_asynchronality_sum,delta_final_asynchronality_sum_vs_base,asynchronality_reduction_percent,delta_asynchronality_reduction_percent_vs_base,initial_avg_snr_db,final_avg_snr_db,delta_final_avg_snr_db_vs_base,initial_avg_sinr_db,final_avg_sinr_db,delta_final_avg_sinr_db_vs_base,total_served_bits,delta_total_served_bits_vs_base,total_skipped_blocks,delta_total_skipped_blocks_vs_base,total_target_bits,total_unserved_bits,training_solve_status,epochs_completed,last_epoch_feasible_rollout_queries,last_epoch_total_rollout_queries,last_epoch_feasible_rollout_fraction,result_json_path,log_path,effective_decisions_json,decision_label,decision_path,decision_value,selection_type
,,downlink,convergence,,downlink_fixed_block_targets.yaml,,upd-net__loss-plain__obj-blend__scope-bs__ntgt-usern,,,,bs_shared_net_fixed_target_n_target_mode=per_user_n_targets; constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,,,,,0.035666666666666666,,43.684210526315795,,,,,,,,,,,7.369500932086538,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_bs_ntgt_usern__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs__ntgt-usern.log,,BS-shared fixed-target n handling,simulation.bs_shared_net_fixed_target_n_target_mode,per_user_n_targets,best_final_total_latency
,,downlink,convergence,,downlink_fixed_block_targets.yaml,,upd-net__loss-plain__obj-blend__scope-bs__ntgt-usern,,,,bs_shared_net_fixed_target_n_target_mode=per_user_n_targets; constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,,,,,0.035666666666666666,,43.684210526315795,,,,,,,,,,,7.369500932086538,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_bs_ntgt_usern__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs__ntgt-usern.log,,BS-shared fixed-target n handling,simulation.bs_shared_net_fixed_target_n_target_mode,per_user_n_targets,best_latency_reduction_percent
,,downlink,convergence,,downlink_fixed_block_targets.yaml,,upd-net__loss-plain__obj-blend__scope-bs__ntgt-jointn,,,,bs_shared_net_fixed_target_n_target_mode=shared_n_targets; constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,,,,,0.035666666666666666,,43.684210526315795,,,,,,,,,,,7.369500932086538,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_bs_ntgt_jointn__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs__ntgt-jointn.log,,BS-shared fixed-target n handling,simulation.bs_shared_net_fixed_target_n_target_mode,shared_n_targets,best_final_total_latency
,,downlink,convergence,,downlink_fixed_block_targets.yaml,,upd-net__loss-plain__obj-blend__scope-bs__ntgt-jointn,,,,bs_shared_net_fixed_target_n_target_mode=shared_n_targets; constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,,,,,0.035666666666666666,,43.684210526315795,,,,,,,,,,,7.369500932086538,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_bs_ntgt_jointn__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs__ntgt-jointn.log,,BS-shared fixed-target n handling,simulation.bs_shared_net_fixed_target_n_target_mode,shared_n_targets,best_latency_reduction_percent
