Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=25/1000 | objective=-8.875034 | rate=15.208859 | power=29.999945 | r_p=4.791141 | r_c=6.333825 | r_s=0.007719 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=26/1000 | objective=-8.649577 | rate=15.210587 | power=29.999939 | r_p=4.789413 | r_c=6.561009 | r_s=0.008379 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=27/1000 | objective=-8.424545 | rate=15.212387 | power=29.999939 | r_p=4.787613 | r_c=6.787841 | r_s=0.009232 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=28/1000 | objective=-8.198268 | rate=15.213577 | power=29.999935 | r_p=4.786423 | r_c=7.015309 | r_s=0.009499 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=29/1000 | objective=-7.970030 | rate=15.213920 | power=29.999945 | r_p=4.786080 | r_c=7.243890 | r_s=0.008965 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=30/1000 | objective=-7.740361 | rate=15.213684 | power=29.999939 | r_p=4.786316 | r_c=7.473323 | r_s=0.007852 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=31/1000 | objective=-7.510313 | rate=15.213316 | power=29.999945 | r_p=4.786684 | r_c=7.703004 | r_s=0.006644 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=32/1000 | objective=-7.280748 | rate=15.213150 | power=29.999945 | r_p=4.786850 | r_c=7.932402 | r_s=0.005848 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=33/1000 | objective=-7.051862 | rate=15.213243 | power=29.999945 | r_p=4.786757 | r_c=8.161382 | r_s=0.005612 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=34/1000 | objective=-6.823607 | rate=15.213562 | power=29.999945 | r_p=4.786438 | r_c=8.389954 | r_s=0.005615 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=35/1000 | objective=-6.595683 | rate=15.213982 | power=29.999939 | r_p=4.786018 | r_c=8.618298 | r_s=0.005551 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=36/1000 | objective=-6.367966 | rate=15.214453 | power=29.999939 | r_p=4.785547 | r_c=8.846487 | r_s=0.005428 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=37/1000 | objective=-6.140105 | rate=15.214851 | power=29.999939 | r_p=4.785149 | r_c=9.074746 | r_s=0.005402 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=38/1000 | objective=-5.911896 | rate=15.215112 | power=29.999945 | r_p=4.784888 | r_c=9.303216 | r_s=0.005459 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=39/1000 | objective=-5.682964 | rate=15.215118 | power=29.999945 | r_p=4.784882 | r_c=9.532154 | r_s=0.005357 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=40/1000 | objective=-5.453444 | rate=15.214931 | power=29.999945 | r_p=4.785069 | r_c=9.761487 | r_s=0.004855 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=41/1000 | objective=-5.223905 | rate=15.214746 | power=29.999945 | r_p=4.785254 | r_c=9.990842 | r_s=0.003988 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=42/1000 | objective=-4.994894 | rate=15.214739 | power=29.999939 | r_p=4.785261 | r_c=10.219845 | r_s=0.003228 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=43/1000 | objective=-4.766603 | rate=15.214957 | power=29.999945 | r_p=4.785043 | r_c=10.448355 | r_s=0.003240 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=44/1000 | objective=-4.538702 | rate=15.215287 | power=29.999939 | r_p=4.784713 | r_c=10.676585 | r_s=0.003820 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=45/1000 | objective=-4.310515 | rate=15.215515 | power=29.999939 | r_p=4.784485 | r_c=10.905000 | r_s=0.004233 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=46/1000 | objective=-4.081741 | rate=15.215557 | power=29.999945 | r_p=4.784443 | r_c=11.133816 | r_s=0.004147 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=47/1000 | objective=-3.852524 | rate=15.215466 | power=29.999945 | r_p=4.784534 | r_c=11.362942 | r_s=0.003645 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=48/1000 | objective=-3.623240 | rate=15.215359 | power=29.999935 | r_p=4.784641 | r_c=11.592118 | r_s=0.003043 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=49/1000 | objective=-3.394243 | rate=15.215339 | power=29.999939 | r_p=4.784661 | r_c=11.821096 | r_s=0.002657 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=50/1000 | objective=-3.165514 | rate=15.215396 | power=29.999939 | r_p=4.784604 | r_c=12.049882 | r_s=0.002557 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=51/1000 | objective=-2.937005 | rate=15.215512 | power=29.999945 | r_p=4.784488 | r_c=12.278507 | r_s=0.002634 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=52/1000 | objective=-2.708533 | rate=15.215634 | power=29.999945 | r_p=4.784366 | r_c=12.507101 | r_s=0.002819 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=53/1000 | objective=-2.479907 | rate=15.215710 | power=29.999945 | r_p=4.784290 | r_c=12.735802 | r_s=0.002998 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=54/1000 | objective=-2.250953 | rate=15.215693 | power=29.999945 | r_p=4.784307 | r_c=12.964741 | r_s=0.002947 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=55/1000 | objective=-2.021763 | rate=15.215615 | power=29.999939 | r_p=4.784385 | r_c=13.193852 | r_s=0.002506 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=56/1000 | objective=-1.792674 | rate=15.215567 | power=29.999945 | r_p=4.784433 | r_c=13.422892 | r_s=0.001809 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=57/1000 | objective=-1.563884 | rate=15.215597 | power=29.999939 | r_p=4.784403 | r_c=13.651713 | r_s=0.001516 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=58/1000 | objective=-1.335388 | rate=15.215702 | power=29.999945 | r_p=4.784298 | r_c=13.880314 | r_s=0.002003 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=59/1000 | objective=-1.106783 | rate=15.215775 | power=29.999945 | r_p=4.784225 | r_c=14.108992 | r_s=0.002449 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=60/1000 | objective=-0.877876 | rate=15.215771 | power=29.999945 | r_p=4.784229 | r_c=14.337895 | r_s=0.002386 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=61/1000 | objective=-0.648787 | rate=15.215721 | power=29.999945 | r_p=4.784279 | r_c=14.566934 | r_s=0.001861 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=62/1000 | objective=-0.419749 | rate=15.215686 | power=29.999939 | r_p=4.784314 | r_c=14.795936 | r_s=0.001337 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=63/1000 | objective=-0.190963 | rate=15.215713 | power=29.999945 | r_p=4.784287 | r_c=15.024749 | r_s=0.001378 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=64/1000 | objective=0.037774 | rate=15.215750 | power=29.999945 | r_p=4.784250 | r_c=15.253525 | r_s=0.001643 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=65/1000 | objective=0.266516 | rate=15.215785 | power=29.999945 | r_p=4.784215 | r_c=15.482301 | r_s=0.001706 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=66/1000 | objective=0.495395 | rate=15.215787 | power=29.999945 | r_p=4.784213 | r_c=15.711182 | r_s=0.001619 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=67/1000 | objective=0.724335 | rate=15.215775 | power=29.999945 | r_p=4.784225 | r_c=15.940110 | r_s=0.001500 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=68/1000 | objective=0.953269 | rate=15.215764 | power=29.999945 | r_p=4.784236 | r_c=16.169034 | r_s=0.001298 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=69/1000 | objective=1.182129 | rate=15.215771 | power=29.999939 | r_p=4.784229 | r_c=16.397900 | r_s=0.001057 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=70/1000 | objective=1.410967 | rate=15.215782 | power=29.999945 | r_p=4.784218 | r_c=16.626749 | r_s=0.001114 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=71/1000 | objective=1.639759 | rate=15.215803 | power=29.999939 | r_p=4.784197 | r_c=16.855562 | r_s=0.001351 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=72/1000 | objective=1.868652 | rate=15.215801 | power=29.999945 | r_p=4.784199 | r_c=17.084454 | r_s=0.001326 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=73/1000 | objective=2.097591 | rate=15.215790 | power=29.999945 | r_p=4.784210 | r_c=17.313381 | r_s=0.001005 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=74/1000 | objective=2.326450 | rate=15.215796 | power=29.999945 | r_p=4.784204 | r_c=17.542247 | r_s=8.443399e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=75/1000 | objective=2.555278 | rate=15.215808 | power=29.999945 | r_p=4.784192 | r_c=17.771087 | r_s=0.001022 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=76/1000 | objective=2.784195 | rate=15.215801 | power=29.999939 | r_p=4.784199 | r_c=17.999997 | r_s=0.001036 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=77/1000 | objective=3.013078 | rate=15.215802 | power=29.999939 | r_p=4.784198 | r_c=18.228879 | r_s=8.465919e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=78/1000 | objective=3.241940 | rate=15.215807 | power=29.999945 | r_p=4.784193 | r_c=18.457746 | r_s=8.193950e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=79/1000 | objective=3.470778 | rate=15.215816 | power=29.999945 | r_p=4.784184 | r_c=18.686594 | r_s=9.012394e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=80/1000 | objective=3.699647 | rate=15.215819 | power=29.999939 | r_p=4.784181 | r_c=18.915467 | r_s=7.979181e-04 | status=running
