[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=unweighted_sum_rate
[DL Convergence] | phase=optimize | block=0 | epoch=150/500 | active_users=3 | updated_users=3 | objective=16.979782 | sum_rate=16.979782 | r_p=29.647463 | r_c=1407.958561 | r_s=0.004349 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=155/500 | active_users=3 | updated_users=3 | objective=17.396492 | sum_rate=17.396492 | r_p=29.538954 | r_c=1446.531290 | r_s=0.004372 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=160/500 | active_users=3 | updated_users=3 | objective=17.805397 | sum_rate=17.805397 | r_p=29.425896 | r_c=1484.388962 | r_s=0.004395 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=165/500 | active_users=3 | updated_users=3 | objective=18.210297 | sum_rate=18.210297 | r_p=29.310757 | r_c=1521.637879 | r_s=0.004417 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=170/500 | active_users=3 | updated_users=3 | objective=18.611759 | sum_rate=18.611759 | r_p=29.197582 | r_c=1558.485807 | r_s=0.004405 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=175/500 | active_users=3 | updated_users=3 | objective=19.005894 | sum_rate=19.005894 | r_p=29.074715 | r_c=1594.302885 | r_s=0.004415 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=180/500 | active_users=3 | updated_users=3 | objective=19.397192 | sum_rate=19.397192 | r_p=28.952320 | r_c=1629.609791 | r_s=0.004417 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=185/500 | active_users=3 | updated_users=3 | objective=19.778822 | sum_rate=19.778822 | r_p=28.818832 | r_c=1663.738578 | r_s=0.004428 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=190/500 | active_users=3 | updated_users=3 | objective=20.153080 | sum_rate=20.153080 | r_p=28.680733 | r_c=1697.014115 | r_s=0.004436 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=195/500 | active_users=3 | updated_users=3 | objective=20.521395 | sum_rate=20.521395 | r_p=28.540302 | r_c=1729.553225 | r_s=0.004454 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=200/500 | active_users=3 | updated_users=3 | objective=20.884480 | sum_rate=20.884480 | r_p=28.396645 | r_c=1761.289683 | r_s=0.004469 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=205/500 | active_users=3 | updated_users=3 | objective=21.241806 | sum_rate=21.241806 | r_p=28.240997 | r_c=1791.643975 | r_s=0.004480 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=210/500 | active_users=3 | updated_users=3 | objective=21.594250 | sum_rate=21.594250 | r_p=28.086147 | r_c=1821.392259 | r_s=0.004490 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=215/500 | active_users=3 | updated_users=3 | objective=21.937592 | sum_rate=21.937592 | r_p=27.926579 | r_c=1850.173580 | r_s=0.004506 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=220/500 | active_users=3 | updated_users=3 | objective=22.269482 | sum_rate=22.269482 | r_p=27.763420 | r_c=1878.041282 | r_s=0.004493 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=225/500 | active_users=3 | updated_users=3 | objective=22.593294 | sum_rate=22.593294 | r_p=27.595516 | r_c=1904.897029 | r_s=0.004515 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=230/500 | active_users=3 | updated_users=3 | objective=22.908274 | sum_rate=22.908274 | r_p=27.429108 | r_c=1931.164955 | r_s=0.004511 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=235/500 | active_users=3 | updated_users=3 | objective=23.214291 | sum_rate=23.214291 | r_p=27.270433 | r_c=1957.306600 | r_s=0.004540 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=240/500 | active_users=3 | updated_users=3 | objective=23.507620 | sum_rate=23.507620 | r_p=27.116516 | r_c=1983.149208 | r_s=0.004545 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=245/500 | active_users=3 | updated_users=3 | objective=23.792730 | sum_rate=23.792730 | r_p=26.975662 | r_c=2009.344946 | r_s=0.004571 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=250/500 | active_users=3 | updated_users=3 | objective=24.063992 | sum_rate=24.063992 | r_p=26.847107 | r_c=2035.910357 | r_s=0.004552 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=255/500 | active_users=3 | updated_users=3 | objective=24.325087 | sum_rate=24.325087 | r_p=26.730928 | r_c=2062.918941 | r_s=0.004577 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=260/500 | active_users=3 | updated_users=3 | objective=24.577427 | sum_rate=24.577427 | r_p=26.625862 | r_c=2090.341121 | r_s=0.004601 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=265/500 | active_users=3 | updated_users=3 | objective=24.821951 | sum_rate=24.821951 | r_p=26.530525 | r_c=2118.124779 | r_s=0.004587 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=270/500 | active_users=3 | updated_users=3 | objective=25.057243 | sum_rate=25.057243 | r_p=26.442230 | r_c=2146.104113 | r_s=0.004609 | status=running
