Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_sinr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_sinr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_sinr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.037467 | initial_avg_latency=0.012489 | initial_min_latency=0.006667 | initial_max_latency=0.017467
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=25/1000 | objective=32.501045 | rate=12.331227 | power=29.999939 | r_p=7.668773 | r_c=15.427234 | r_s=0.007272 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=26/1000 | objective=33.088650 | rate=12.331273 | power=29.999945 | r_p=7.668727 | r_c=16.015239 | r_s=0.006553 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=27/1000 | objective=33.669743 | rate=12.331920 | power=29.999939 | r_p=7.668080 | r_c=16.601933 | r_s=0.006510 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=28/1000 | objective=34.246658 | rate=12.332935 | power=29.999939 | r_p=7.667065 | r_c=17.187651 | r_s=0.006802 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=29/1000 | objective=34.822647 | rate=12.334014 | power=29.999939 | r_p=7.665986 | r_c=17.772989 | r_s=0.007021 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=30/1000 | objective=35.400364 | rate=12.334914 | power=29.999939 | r_p=7.665086 | r_c=18.358506 | r_s=0.006958 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=31/1000 | objective=35.980793 | rate=12.335552 | power=29.999939 | r_p=7.664448 | r_c=18.944465 | r_s=0.006606 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=32/1000 | objective=36.563923 | rate=12.335937 | power=29.999945 | r_p=7.664063 | r_c=19.530923 | r_s=0.006086 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=33/1000 | objective=37.148682 | rate=12.336168 | power=29.999939 | r_p=7.663832 | r_c=20.117693 | r_s=0.005561 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=34/1000 | objective=37.734230 | rate=12.336327 | power=29.999945 | r_p=7.663673 | r_c=20.704609 | r_s=0.005153 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=35/1000 | objective=38.320435 | rate=12.336424 | power=29.999945 | r_p=7.663576 | r_c=21.291657 | r_s=0.004878 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=36/1000 | objective=38.907036 | rate=12.336485 | power=29.999945 | r_p=7.663515 | r_c=21.878787 | r_s=0.004652 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=37/1000 | objective=39.494198 | rate=12.336496 | power=29.999939 | r_p=7.663504 | r_c=22.466048 | r_s=0.004372 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=38/1000 | objective=40.081497 | rate=12.336495 | power=29.999945 | r_p=7.663505 | r_c=23.053344 | r_s=0.003991 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=39/1000 | objective=40.668358 | rate=12.336533 | power=29.999945 | r_p=7.663467 | r_c=23.640522 | r_s=0.003558 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=40/1000 | objective=41.254086 | rate=12.336664 | power=29.999939 | r_p=7.663336 | r_c=24.227393 | r_s=0.003216 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=41/1000 | objective=41.838562 | rate=12.336899 | power=29.999945 | r_p=7.663101 | r_c=24.813901 | r_s=0.003128 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=42/1000 | objective=42.422230 | rate=12.337196 | power=29.999939 | r_p=7.662804 | r_c=25.400146 | r_s=0.003300 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=43/1000 | objective=43.006104 | rate=12.337471 | power=29.999939 | r_p=7.662529 | r_c=25.986400 | r_s=0.003552 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=44/1000 | objective=43.591015 | rate=12.337655 | power=29.999939 | r_p=7.662345 | r_c=26.572905 | r_s=0.003678 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=45/1000 | objective=44.177399 | rate=12.337715 | power=29.999939 | r_p=7.662285 | r_c=27.159808 | r_s=0.003562 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=46/1000 | objective=44.765041 | rate=12.337671 | power=29.999945 | r_p=7.662329 | r_c=27.747072 | r_s=0.003196 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=47/1000 | objective=45.353004 | rate=12.337603 | power=29.999939 | r_p=7.662397 | r_c=28.334439 | r_s=0.002679 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=48/1000 | objective=45.940483 | rate=12.337574 | power=29.999935 | r_p=7.662426 | r_c=28.921671 | r_s=0.002204 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=49/1000 | objective=46.527061 | rate=12.337618 | power=29.999945 | r_p=7.662382 | r_c=29.508629 | r_s=0.001999 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=50/1000 | objective=47.113075 | rate=12.337706 | power=29.999945 | r_p=7.662294 | r_c=30.095406 | r_s=0.002103 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=51/1000 | objective=47.698906 | rate=12.337807 | power=29.999939 | r_p=7.662193 | r_c=30.682108 | r_s=0.002306 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=52/1000 | objective=48.285065 | rate=12.337880 | power=29.999939 | r_p=7.662120 | r_c=31.268901 | r_s=0.002405 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=53/1000 | objective=48.871788 | rate=12.337908 | power=29.999935 | r_p=7.662092 | r_c=31.855867 | r_s=0.002317 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=54/1000 | objective=49.458794 | rate=12.337914 | power=29.999939 | r_p=7.662086 | r_c=32.442919 | r_s=0.002070 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=55/1000 | objective=50.045868 | rate=12.337914 | power=29.999945 | r_p=7.662086 | r_c=33.029995 | r_s=0.001781 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=56/1000 | objective=50.632568 | rate=12.337942 | power=29.999939 | r_p=7.662058 | r_c=33.616945 | r_s=0.001619 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=57/1000 | objective=51.218941 | rate=12.337996 | power=29.999945 | r_p=7.662004 | r_c=34.203778 | r_s=0.001657 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=58/1000 | objective=51.805412 | rate=12.338040 | power=29.999945 | r_p=7.661960 | r_c=34.790637 | r_s=0.001775 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=59/1000 | objective=52.392097 | rate=12.338068 | power=29.999945 | r_p=7.661932 | r_c=35.377566 | r_s=0.001813 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=60/1000 | objective=52.979176 | rate=12.338066 | power=29.999939 | r_p=7.661934 | r_c=35.964627 | r_s=0.001703 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=61/1000 | objective=53.566395 | rate=12.338054 | power=29.999945 | r_p=7.661946 | r_c=36.551738 | r_s=0.001475 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=62/1000 | objective=54.153641 | rate=12.338039 | power=29.999945 | r_p=7.661961 | r_c=37.138862 | r_s=0.001230 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=63/1000 | objective=54.740623 | rate=12.338045 | power=29.999945 | r_p=7.661955 | r_c=37.725890 | r_s=0.001095 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=64/1000 | objective=55.327469 | rate=12.338060 | power=29.999945 | r_p=7.661940 | r_c=38.312869 | r_s=0.001109 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=65/1000 | objective=55.913986 | rate=12.338099 | power=29.999945 | r_p=7.661901 | r_c=38.899724 | r_s=0.001187 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=66/1000 | objective=56.500675 | rate=12.338125 | power=29.999950 | r_p=7.661875 | r_c=39.486639 | r_s=0.001233 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=67/1000 | objective=57.087559 | rate=12.338137 | power=29.999939 | r_p=7.661863 | r_c=40.073622 | r_s=0.001215 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=68/1000 | objective=57.674454 | rate=12.338147 | power=29.999945 | r_p=7.661853 | r_c=40.660608 | r_s=0.001147 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=69/1000 | objective=58.261520 | rate=12.338145 | power=29.999945 | r_p=7.661855 | r_c=41.247658 | r_s=0.001063 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=70/1000 | objective=58.848648 | rate=12.338140 | power=29.999939 | r_p=7.661860 | r_c=41.834729 | r_s=9.839963e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=71/1000 | objective=59.435852 | rate=12.338128 | power=29.999939 | r_p=7.661872 | r_c=42.421834 | r_s=9.007341e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=72/1000 | objective=60.022839 | rate=12.338132 | power=29.999945 | r_p=7.661868 | r_c=43.008855 | r_s=7.968977e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=73/1000 | objective=60.609863 | rate=12.338133 | power=29.999945 | r_p=7.661867 | r_c=43.595892 | r_s=6.925459e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=74/1000 | objective=61.196777 | rate=12.338141 | power=29.999945 | r_p=7.661859 | r_c=44.182885 | r_s=6.542670e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=75/1000 | objective=61.783615 | rate=12.338156 | power=29.999945 | r_p=7.661844 | r_c=44.769842 | r_s=7.146558e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=76/1000 | objective=62.370399 | rate=12.338173 | power=29.999945 | r_p=7.661827 | r_c=45.356779 | r_s=8.060591e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=77/1000 | objective=62.957382 | rate=12.338177 | power=29.999945 | r_p=7.661823 | r_c=45.943792 | r_s=8.452760e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=78/1000 | objective=63.544472 | rate=12.338173 | power=29.999939 | r_p=7.661827 | r_c=46.530850 | r_s=7.938162e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=79/1000 | objective=64.131538 | rate=12.338171 | power=29.999945 | r_p=7.661829 | r_c=47.117898 | r_s=6.588502e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=80/1000 | objective=64.718735 | rate=12.338161 | power=29.999939 | r_p=7.661839 | r_c=47.704999 | r_s=4.916536e-04 | status=stationary_infeasible
[UL Convergence Result] | user=0 | block=0 | n_kl=50 | achieved_rate=12.338177 | power=29.999945 | rate_gap=7.661823 | power_gap=-5.531311e-05 | solve_status=stationary_infeasible
[UL Convergence Allocation] | user=0 | block=0 | n_kl=50 | requested_bits=1000 | served_bits=616 | full_service=false
[UL Convergence Block] | user=0 | block=0 | stage=post_T | served_bits=616 | remaining_bits=384
[UL Convergence Reduction] | user=0 | block=0 | served_bits=616 | n_start=49 | n_min=1
[UL Convergence Reduction] | user=0 | block=0 | n_kl=49 | status=stop_partial_payload
[UL Convergence Final] | user=0 | block=0 | feasible_points=1 | chosen_n_kl=50 | served_bits=616 | achieved_rate=12.338177 | power=29.999945 | solve_status=stationary_infeasible
[UL Convergence Allocation] | user=0 | block=0 | chosen_n_kl=50 | served_bits=616 | committed_bits=616 | remaining_bits=384
[UL Convergence Train] | user=0 | block=1 | remaining_bits=384
[UL Convergence Block] | user=0 | block=1 | budget_mode=B_rem | requested_bits=384
[UL Convergence Solve] | user=0 | block=1 | stage=n=T | n_kl=50 | requested_bits=384
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=1/1000 | objective=-12.470014 | rate=12.470014 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=2/1000 | objective=-12.426255 | rate=12.426255 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.159934 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=3/1000 | objective=-12.468771 | rate=12.468771 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.088494 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=4/1000 | objective=-12.476566 | rate=12.476566 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.058007 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=5/1000 | objective=-12.483416 | rate=12.483416 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.045063 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=6/1000 | objective=-12.486645 | rate=12.486645 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.039644 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=7/1000 | objective=-12.487434 | rate=12.487434 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.033948 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=8/1000 | objective=-12.488337 | rate=12.488337 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.029536 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=9/1000 | objective=-12.491674 | rate=12.491674 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.026045 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=10/1000 | objective=-12.495890 | rate=12.495890 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.025649 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=11/1000 | objective=-12.497495 | rate=12.497495 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.024277 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=12/1000 | objective=-12.496569 | rate=12.496569 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.020749 | status=running
