Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=29/100 | objective=-13.072893 | rate=13.269077 | r_p=0.682696 | r_c=0.200845 | r_s=0.001381 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=30/100 | objective=-13.068126 | rate=13.268988 | r_p=0.682756 | r_c=0.205524 | r_s=0.001386 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=31/100 | objective=-13.063737 | rate=13.269218 | r_p=0.682615 | r_c=0.210141 | r_s=0.001310 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=32/100 | objective=-13.059541 | rate=13.269606 | r_p=0.682368 | r_c=0.214721 | r_s=0.001222 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=33/100 | objective=-13.055374 | rate=13.270014 | r_p=0.682111 | r_c=0.219293 | r_s=0.001132 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=34/100 | objective=-13.051164 | rate=13.270382 | r_p=0.681877 | r_c=0.223867 | r_s=0.001048 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=35/100 | objective=-13.046785 | rate=13.270606 | r_p=0.681733 | r_c=0.228468 | r_s=9.652676e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=36/100 | objective=-13.042259 | rate=13.270706 | r_p=0.681671 | r_c=0.233094 | r_s=8.974668e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=37/100 | objective=-13.037797 | rate=13.270858 | r_p=0.681575 | r_c=0.237707 | r_s=8.631467e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=38/100 | objective=-13.033537 | rate=13.271175 | r_p=0.681380 | r_c=0.242281 | r_s=8.512872e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=39/100 | objective=-13.029282 | rate=13.271493 | r_p=0.681183 | r_c=0.246851 | r_s=8.206397e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=40/100 | objective=-13.024735 | rate=13.271570 | r_p=0.681138 | r_c=0.251474 | r_s=8.764996e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=41/100 | objective=-13.019935 | rate=13.271439 | r_p=0.681220 | r_c=0.256145 | r_s=7.354986e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=42/100 | objective=-13.015131 | rate=13.271307 | r_p=0.681302 | r_c=0.260818 | r_s=6.950835e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=43/100 | objective=-13.010500 | rate=13.271315 | r_p=0.681296 | r_c=0.265457 | r_s=6.809960e-04 | status=running
