[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=blended_network_rate
    weight_strategy=remaining_bits | user_weights: u0=0.500, u1=0.750, u2=1.000
[DL Convergence] | phase=optimize | block=0 | epoch=150/500 | active_users=3 | updated_users=3 | objective=19.043562 | sum_rate=17.009920 | r_p=29.718781 | r_c=1413.161143 | r_s=0.004308 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=155/500 | active_users=3 | updated_users=3 | objective=19.501070 | sum_rate=17.421772 | r_p=29.619669 | r_c=1452.403249 | r_s=0.004322 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=160/500 | active_users=3 | updated_users=3 | objective=19.948833 | sum_rate=17.823477 | r_p=29.510925 | r_c=1490.713681 | r_s=0.004345 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=165/500 | active_users=3 | updated_users=3 | objective=20.393147 | sum_rate=18.221447 | r_p=29.398170 | r_c=1528.329752 | r_s=0.004356 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=170/500 | active_users=3 | updated_users=3 | objective=20.837469 | sum_rate=18.619473 | r_p=29.287098 | r_c=1565.539509 | r_s=0.004363 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=175/500 | active_users=3 | updated_users=3 | objective=21.276659 | sum_rate=19.012491 | r_p=29.170082 | r_c=1601.931897 | r_s=0.004374 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=180/500 | active_users=3 | updated_users=3 | objective=21.709101 | sum_rate=19.399048 | r_p=29.046669 | r_c=1637.446866 | r_s=0.004383 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=185/500 | active_users=3 | updated_users=3 | objective=22.135069 | sum_rate=19.779776 | r_p=28.923199 | r_c=1672.422806 | r_s=0.004375 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=190/500 | active_users=3 | updated_users=3 | objective=22.554092 | sum_rate=20.154089 | r_p=28.795666 | r_c=1706.618506 | r_s=0.004396 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=195/500 | active_users=3 | updated_users=3 | objective=22.971508 | sum_rate=20.526936 | r_p=28.657835 | r_c=1739.632876 | r_s=0.004390 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=200/500 | active_users=3 | updated_users=3 | objective=23.382494 | sum_rate=20.893616 | r_p=28.510929 | r_c=1771.485403 | r_s=0.004413 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=205/500 | active_users=3 | updated_users=3 | objective=23.790283 | sum_rate=21.257694 | r_p=28.363918 | r_c=1802.702497 | r_s=0.004428 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=210/500 | active_users=3 | updated_users=3 | objective=24.190611 | sum_rate=21.614994 | r_p=28.213804 | r_c=1833.090064 | r_s=0.004445 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=215/500 | active_users=3 | updated_users=3 | objective=24.579876 | sum_rate=21.961964 | r_p=28.057362 | r_c=1862.419114 | r_s=0.004443 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=220/500 | active_users=3 | updated_users=3 | objective=24.958246 | sum_rate=22.299057 | r_p=27.901144 | r_c=1891.103959 | r_s=0.004472 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=225/500 | active_users=3 | updated_users=3 | objective=25.326214 | sum_rate=22.626707 | r_p=27.740753 | r_c=1918.843526 | r_s=0.004469 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=230/500 | active_users=3 | updated_users=3 | objective=25.682745 | sum_rate=22.943970 | r_p=27.578823 | r_c=1945.805668 | r_s=0.004469 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=235/500 | active_users=3 | updated_users=3 | objective=26.030085 | sum_rate=23.253174 | r_p=27.420059 | r_c=1972.327832 | r_s=0.004490 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=240/500 | active_users=3 | updated_users=3 | objective=26.363939 | sum_rate=23.550104 | r_p=27.262041 | r_c=1998.250988 | r_s=0.004504 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=245/500 | active_users=3 | updated_users=3 | objective=26.685253 | sum_rate=23.835896 | r_p=27.109627 | r_c=2023.948062 | r_s=0.004523 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=250/500 | active_users=3 | updated_users=3 | objective=26.990795 | sum_rate=24.107758 | r_p=26.969978 | r_c=2050.003290 | r_s=0.004524 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=255/500 | active_users=3 | updated_users=3 | objective=27.280701 | sum_rate=24.365849 | r_p=26.842680 | r_c=2076.456664 | r_s=0.004539 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=260/500 | active_users=3 | updated_users=3 | objective=27.561577 | sum_rate=24.616579 | r_p=26.728565 | r_c=2103.439834 | r_s=0.004543 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=265/500 | active_users=3 | updated_users=3 | objective=27.833359 | sum_rate=24.859592 | r_p=26.623056 | r_c=2130.658593 | r_s=0.004567 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=270/500 | active_users=3 | updated_users=3 | objective=28.095373 | sum_rate=25.094196 | r_p=26.525883 | r_c=2158.139347 | r_s=0.004562 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=275/500 | active_users=3 | updated_users=3 | objective=28.347149 | sum_rate=25.319962 | r_p=26.438297 | r_c=2186.033932 | r_s=0.004569 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=280/500 | active_users=3 | updated_users=3 | objective=28.586636 | sum_rate=25.534525 | r_p=26.351383 | r_c=2213.635769 | r_s=0.004602 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=285/500 | active_users=3 | updated_users=3 | objective=28.814619 | sum_rate=25.738953 | r_p=26.274174 | r_c=2241.726889 | r_s=0.004616 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=290/500 | active_users=3 | updated_users=3 | objective=29.032085 | sum_rate=25.933907 | r_p=26.200184 | r_c=2269.794263 | r_s=0.004629 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=295/500 | active_users=3 | updated_users=3 | objective=29.243876 | sum_rate=26.124279 | r_p=26.135578 | r_c=2298.401071 | r_s=0.004637 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=300/500 | active_users=3 | updated_users=3 | objective=29.445482 | sum_rate=26.305317 | r_p=26.071228 | r_c=2326.777665 | r_s=0.004671 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=305/500 | active_users=3 | updated_users=3 | objective=29.638958 | sum_rate=26.478989 | r_p=26.007555 | r_c=2354.963643 | r_s=0.004662 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=310/500 | active_users=3 | updated_users=3 | objective=29.821348 | sum_rate=26.642467 | r_p=25.946243 | r_c=2383.120680 | r_s=0.004681 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=315/500 | active_users=3 | updated_users=3 | objective=30.000757 | sum_rate=26.803509 | r_p=25.885435 | r_c=2411.085035 | r_s=0.004687 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=320/500 | active_users=3 | updated_users=3 | objective=30.170750 | sum_rate=26.955755 | r_p=25.823997 | r_c=2438.754850 | r_s=0.004694 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=325/500 | active_users=3 | updated_users=3 | objective=30.335167 | sum_rate=27.103149 | r_p=25.767525 | r_c=2466.663520 | r_s=0.004706 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=330/500 | active_users=3 | updated_users=3 | objective=30.492001 | sum_rate=27.243227 | r_p=25.704121 | r_c=2493.677414 | r_s=0.004714 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=335/500 | active_users=3 | updated_users=3 | objective=30.642942 | sum_rate=27.377777 | r_p=25.637741 | r_c=2520.153646 | r_s=0.004738 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=340/500 | active_users=3 | updated_users=3 | objective=30.790060 | sum_rate=27.508846 | r_p=25.570120 | r_c=2546.249604 | r_s=0.004760 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=345/500 | active_users=3 | updated_users=3 | objective=30.933043 | sum_rate=27.636147 | r_p=25.502394 | r_c=2572.076268 | r_s=0.004778 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=350/500 | active_users=3 | updated_users=3 | objective=31.069639 | sum_rate=27.757263 | r_p=25.431332 | r_c=2597.301239 | r_s=0.004778 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=355/500 | active_users=3 | updated_users=3 | objective=31.204884 | sum_rate=27.877119 | r_p=25.357262 | r_c=2621.942013 | r_s=0.004801 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=360/500 | active_users=3 | updated_users=3 | objective=31.337421 | sum_rate=27.994314 | r_p=25.282413 | r_c=2646.219531 | r_s=0.004787 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=365/500 | active_users=3 | updated_users=3 | objective=31.470207 | sum_rate=28.111578 | r_p=25.203648 | r_c=2669.795863 | r_s=0.004810 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=370/500 | active_users=3 | updated_users=3 | objective=31.601545 | sum_rate=28.226833 | r_p=25.112267 | r_c=2691.715495 | r_s=0.004829 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=375/500 | active_users=3 | updated_users=3 | objective=31.735844 | sum_rate=28.344368 | r_p=25.010696 | r_c=2712.182987 | r_s=0.004840 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=380/500 | active_users=3 | updated_users=3 | objective=31.872646 | sum_rate=28.463612 | r_p=24.897539 | r_c=2730.993188 | r_s=0.004853 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=385/500 | active_users=3 | updated_users=3 | objective=32.014496 | sum_rate=28.586910 | r_p=24.773174 | r_c=2748.130139 | r_s=0.004881 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=390/500 | active_users=3 | updated_users=3 | objective=32.160488 | sum_rate=28.713377 | r_p=24.638075 | r_c=2763.595377 | r_s=0.004896 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=395/500 | active_users=3 | updated_users=3 | objective=32.313568 | sum_rate=28.845726 | r_p=24.568356 | r_c=2777.118007 | r_s=0.004918 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=400/500 | active_users=3 | updated_users=3 | objective=32.474640 | sum_rate=28.985050 | r_p=24.577450 | r_c=2789.243316 | r_s=0.004945 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=405/500 | active_users=3 | updated_users=3 | objective=32.640862 | sum_rate=29.128523 | r_p=24.587002 | r_c=2799.705002 | r_s=0.004950 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=410/500 | active_users=3 | updated_users=3 | objective=32.815708 | sum_rate=29.279587 | r_p=24.600136 | r_c=2808.631886 | r_s=0.004964 | status=running
