[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=blended_network_rate
    weight_strategy=remaining_bits | user_weights: u0=0.500, u1=0.750, u2=1.000
[DL Convergence] | phase=optimize | block=0 | epoch=150/500 | active_users=3 | updated_users=3 | objective=34.248337 | sum_rate=30.244413 | r_p=21.478657 | r_c=690.692277 | r_s=0.447596 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=155/500 | active_users=3 | updated_users=3 | objective=34.253983 | sum_rate=30.245605 | r_p=21.360601 | r_c=709.821306 | r_s=0.374521 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=160/500 | active_users=3 | updated_users=3 | objective=34.270100 | sum_rate=30.261791 | r_p=21.407162 | r_c=734.317654 | r_s=0.469387 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=165/500 | active_users=3 | updated_users=3 | objective=34.265228 | sum_rate=30.255785 | r_p=21.366642 | r_c=755.824366 | r_s=0.633291 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=170/500 | active_users=3 | updated_users=3 | objective=34.259010 | sum_rate=30.249868 | r_p=21.359806 | r_c=778.464006 | r_s=0.662614 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=175/500 | active_users=3 | updated_users=3 | objective=34.260880 | sum_rate=30.251795 | r_p=21.367516 | r_c=801.619812 | r_s=0.309078 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=180/500 | active_users=3 | updated_users=3 | objective=34.267426 | sum_rate=30.256927 | r_p=21.338017 | r_c=823.355699 | r_s=0.318842 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=185/500 | active_users=3 | updated_users=3 | objective=34.267845 | sum_rate=30.259033 | r_p=21.390638 | r_c=848.272037 | r_s=0.493399 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=190/500 | active_users=3 | updated_users=3 | objective=34.256340 | sum_rate=30.250927 | r_p=21.457527 | r_c=873.880182 | r_s=0.708687 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=195/500 | active_users=3 | updated_users=3 | objective=34.247952 | sum_rate=30.244663 | r_p=21.497013 | r_c=898.491510 | r_s=1.128666 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=200/500 | active_users=3 | updated_users=3 | objective=34.239758 | sum_rate=30.236034 | r_p=21.468010 | r_c=920.251616 | r_s=0.136662 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=205/500 | active_users=3 | updated_users=3 | objective=34.255157 | sum_rate=30.247467 | r_p=21.391790 | r_c=939.875152 | r_s=0.747250 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=210/500 | active_users=3 | updated_users=3 | objective=34.269905 | sum_rate=30.258814 | r_p=21.326630 | r_c=959.819741 | r_s=0.415843 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=215/500 | active_users=3 | updated_users=3 | objective=34.266388 | sum_rate=30.253590 | r_p=21.265989 | r_c=979.818956 | r_s=0.604432 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=220/500 | active_users=3 | updated_users=3 | objective=34.240910 | sum_rate=30.227997 | r_p=21.190298 | r_c=998.969436 | r_s=0.872793 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=225/500 | active_users=3 | updated_users=3 | objective=34.251110 | sum_rate=30.238356 | r_p=21.219578 | r_c=1023.009050 | r_s=0.351223 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=230/500 | active_users=3 | updated_users=3 | objective=34.246353 | sum_rate=30.237436 | r_p=21.327057 | r_c=1050.959044 | r_s=1.310183 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=235/500 | active_users=3 | updated_users=3 | objective=34.262974 | sum_rate=30.255533 | r_p=21.411880 | r_c=1078.004715 | r_s=0.254722 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=240/500 | active_users=3 | updated_users=3 | objective=34.270676 | sum_rate=30.264400 | r_p=21.468300 | r_c=1103.770906 | r_s=0.633601 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=245/500 | active_users=3 | updated_users=3 | objective=34.259991 | sum_rate=30.254957 | r_p=21.480440 | r_c=1127.336857 | r_s=0.314252 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=250/500 | active_users=3 | updated_users=3 | objective=34.266724 | sum_rate=30.261999 | r_p=21.502016 | r_c=1151.431500 | r_s=0.393346 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=255/500 | active_users=3 | updated_users=3 | objective=34.231304 | sum_rate=30.229034 | r_p=21.478941 | r_c=1173.132951 | r_s=0.737490 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=260/500 | active_users=3 | updated_users=3 | objective=34.250710 | sum_rate=30.248701 | r_p=21.537968 | r_c=1199.346337 | r_s=0.471730 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=265/500 | active_users=3 | updated_users=3 | objective=34.263779 | sum_rate=30.259811 | r_p=21.518911 | r_c=1221.255169 | r_s=0.284189 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=270/500 | active_users=3 | updated_users=3 | objective=34.271595 | sum_rate=30.265932 | r_p=21.486835 | r_c=1242.367257 | r_s=0.316369 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=275/500 | active_users=3 | updated_users=3 | objective=34.270355 | sum_rate=30.264761 | r_p=21.487135 | r_c=1265.309567 | r_s=0.544906 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=280/500 | active_users=3 | updated_users=3 | objective=34.267437 | sum_rate=30.262932 | r_p=21.513668 | r_c=1289.821521 | r_s=0.426529 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=285/500 | active_users=3 | updated_users=3 | objective=34.256718 | sum_rate=30.250526 | r_p=21.432396 | r_c=1307.823424 | r_s=0.448141 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=290/500 | active_users=3 | updated_users=3 | objective=34.252384 | sum_rate=30.247776 | r_p=21.464081 | r_c=1332.656679 | r_s=0.360969 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=295/500 | active_users=3 | updated_users=3 | objective=34.259403 | sum_rate=30.256216 | r_p=21.523924 | r_c=1359.325767 | r_s=0.323028 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=300/500 | active_users=3 | updated_users=3 | objective=34.251850 | sum_rate=30.250790 | r_p=21.567545 | r_c=1385.069188 | r_s=0.397812 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=305/500 | active_users=3 | updated_users=3 | objective=34.269402 | sum_rate=30.261141 | r_p=21.403580 | r_c=1397.380843 | r_s=0.287705 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=310/500 | active_users=3 | updated_users=3 | objective=34.272793 | sum_rate=30.265938 | r_p=21.457893 | r_c=1423.806457 | r_s=0.421038 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=315/500 | active_users=3 | updated_users=3 | objective=34.265282 | sum_rate=30.260471 | r_p=21.492786 | r_c=1449.027860 | r_s=0.250603 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=320/500 | active_users=3 | updated_users=3 | objective=34.269218 | sum_rate=30.259769 | r_p=21.366772 | r_c=1463.325214 | r_s=0.446651 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=325/500 | active_users=3 | updated_users=3 | objective=34.269142 | sum_rate=30.262403 | r_p=21.453098 | r_c=1492.099839 | r_s=0.530755 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=330/500 | active_users=3 | updated_users=3 | objective=34.269325 | sum_rate=30.260208 | r_p=21.381603 | r_c=1509.919095 | r_s=0.515460 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=335/500 | active_users=3 | updated_users=3 | objective=34.270607 | sum_rate=30.260155 | r_p=21.344940 | r_c=1530.089369 | r_s=0.437513 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=340/500 | active_users=3 | updated_users=3 | objective=34.268311 | sum_rate=30.261324 | r_p=21.443026 | r_c=1559.961889 | r_s=0.347351 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=345/500 | active_users=3 | updated_users=3 | objective=34.237553 | sum_rate=30.229156 | r_p=21.306477 | r_c=1572.748813 | r_s=0.543047 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=350/500 | active_users=3 | updated_users=3 | objective=34.250923 | sum_rate=30.241621 | r_p=21.318224 | r_c=1596.342239 | r_s=0.476502 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=355/500 | active_users=3 | updated_users=3 | objective=34.263298 | sum_rate=30.253963 | r_p=21.354523 | r_c=1621.810948 | r_s=0.451024 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=360/500 | active_users=3 | updated_users=3 | objective=34.266449 | sum_rate=30.254622 | r_p=21.290834 | r_c=1639.668254 | r_s=0.384275 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=365/500 | active_users=3 | updated_users=3 | objective=34.273232 | sum_rate=30.263134 | r_p=21.363291 | r_c=1668.006593 | r_s=0.493564 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=370/500 | active_users=3 | updated_users=3 | objective=34.272537 | sum_rate=30.263456 | r_p=21.389553 | r_c=1692.838823 | r_s=0.410993 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=375/500 | active_users=3 | updated_users=3 | objective=34.266628 | sum_rate=30.257078 | r_p=21.360394 | r_c=1713.292474 | r_s=0.498175 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=380/500 | active_users=3 | updated_users=3 | objective=34.276592 | sum_rate=30.267132 | r_p=21.390348 | r_c=1738.480912 | r_s=0.242926 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=385/500 | active_users=3 | updated_users=3 | objective=34.274513 | sum_rate=30.265707 | r_p=21.404381 | r_c=1762.417991 | r_s=0.444441 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=390/500 | active_users=3 | updated_users=3 | objective=34.273792 | sum_rate=30.262716 | r_p=21.333838 | r_c=1779.342683 | r_s=0.146070 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=395/500 | active_users=3 | updated_users=3 | objective=34.275730 | sum_rate=30.264118 | r_p=21.324121 | r_c=1801.246879 | r_s=0.406642 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=400/500 | active_users=3 | updated_users=3 | objective=34.276730 | sum_rate=30.264400 | r_p=21.304428 | r_c=1822.272679 | r_s=0.153233 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=405/500 | active_users=3 | updated_users=3 | objective=34.247646 | sum_rate=30.236074 | r_p=21.239948 | r_c=1839.382956 | r_s=0.361660 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=410/500 | active_users=3 | updated_users=3 | objective=34.270790 | sum_rate=30.256067 | r_p=21.214428 | r_c=1859.771495 | r_s=0.137787 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=415/500 | active_users=3 | updated_users=3 | objective=34.267418 | sum_rate=30.253445 | r_p=21.226908 | r_c=1883.467165 | r_s=0.588920 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=420/500 | active_users=3 | updated_users=3 | objective=34.262394 | sum_rate=30.248142 | r_p=21.205296 | r_c=1904.128719 | r_s=0.532073 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=425/500 | active_users=3 | updated_users=3 | objective=34.260662 | sum_rate=30.246506 | r_p=21.206881 | r_c=1926.846868 | r_s=0.557722 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=430/500 | active_users=3 | updated_users=3 | objective=34.267735 | sum_rate=30.254528 | r_p=21.256821 | r_c=1954.008664 | r_s=0.853635 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=435/500 | active_users=3 | updated_users=3 | objective=34.268181 | sum_rate=30.257469 | r_p=21.335026 | r_c=1983.902451 | r_s=0.897479 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=440/500 | active_users=3 | updated_users=3 | objective=34.275379 | sum_rate=30.266211 | r_p=21.396364 | r_c=2012.381137 | r_s=0.566155 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=445/500 | active_users=3 | updated_users=3 | objective=34.267593 | sum_rate=30.258705 | r_p=21.387133 | r_c=2034.287059 | r_s=1.309535 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=450/500 | active_users=3 | updated_users=3 | objective=34.271149 | sum_rate=30.261948 | r_p=21.383766 | r_c=2056.736156 | r_s=0.157719 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=455/500 | active_users=3 | updated_users=3 | objective=34.265404 | sum_rate=30.253922 | r_p=21.297129 | r_c=2071.087197 | r_s=0.688230 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=460/500 | active_users=3 | updated_users=3 | objective=34.269676 | sum_rate=30.257494 | r_p=21.290489 | r_c=2093.102193 | r_s=0.325678 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=465/500 | active_users=3 | updated_users=3 | objective=34.265175 | sum_rate=30.252529 | r_p=21.263626 | r_c=2113.091932 | r_s=0.586319 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=470/500 | active_users=3 | updated_users=3 | objective=34.265846 | sum_rate=30.251728 | r_p=21.221022 | r_c=2131.443291 | r_s=0.263394 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=475/500 | active_users=3 | updated_users=3 | objective=34.267567 | sum_rate=30.252998 | r_p=21.210596 | r_c=2152.967673 | r_s=0.347756 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=480/500 | active_users=3 | updated_users=3 | objective=34.264557 | sum_rate=30.251438 | r_p=21.248379 | r_c=2179.412160 | r_s=0.132072 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=485/500 | active_users=3 | updated_users=3 | objective=34.272957 | sum_rate=30.261463 | r_p=21.317421 | r_c=2209.177604 | r_s=0.177620 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=490/500 | active_users=3 | updated_users=3 | objective=34.275936 | sum_rate=30.266472 | r_p=21.386110 | r_c=2239.056400 | r_s=0.249643 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=495/500 | active_users=3 | updated_users=3 | objective=34.276081 | sum_rate=30.267473 | r_p=21.411869 | r_c=2264.543864 | r_s=0.314457 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=500/500 | active_users=3 | updated_users=3 | objective=34.276585 | sum_rate=30.266087 | r_p=21.355947 | r_c=2281.360913 | r_s=0.457196 | status=running
[DL Convergence Block] | block=0 | skipped_users=[0] | action=reoptimize_remaining
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=2 | updated_users=2 | objective=34.267410 | sum_rate=30.260225 | r_p=21.422363 | r_c=1348.322998 | r_s=0.015057 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=2 | updated_users=2 | objective=34.268684 | sum_rate=30.255402 | r_p=21.245377 | r_c=1355.351020 | r_s=0.009660 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=2 | updated_users=2 | objective=34.273655 | sum_rate=30.260986 | r_p=21.278458 | r_c=1380.150488 | r_s=0.010323 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=2 | updated_users=2 | objective=34.261208 | sum_rate=30.245415 | r_p=21.148476 | r_c=1394.291222 | r_s=0.011610 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=2 | updated_users=2 | objective=34.273773 | sum_rate=30.259584 | r_p=21.233744 | r_c=1422.550870 | r_s=0.009443 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=2 | updated_users=2 | objective=34.272606 | sum_rate=30.257511 | r_p=21.203373 | r_c=1443.125003 | r_s=0.009635 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=2 | updated_users=2 | objective=34.266014 | sum_rate=30.250317 | r_p=21.165676 | r_c=1463.134555 | r_s=0.012223 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=2 | updated_users=2 | objective=34.278610 | sum_rate=30.264355 | r_p=21.246265 | r_c=1491.347795 | r_s=0.007222 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=2 | updated_users=2 | objective=34.277786 | sum_rate=30.262955 | r_p=21.226635 | r_c=1512.593629 | r_s=0.008215 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=2 | updated_users=2 | objective=34.269493 | sum_rate=30.253809 | r_p=21.176529 | r_c=1531.606053 | r_s=0.012410 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=2 | updated_users=2 | objective=34.275921 | sum_rate=30.263502 | r_p=21.292641 | r_c=1562.681150 | r_s=0.008149 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=2 | updated_users=2 | objective=34.250069 | sum_rate=30.235760 | r_p=21.159060 | r_c=1575.444508 | r_s=0.017024 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=60/500 | active_users=2 | updated_users=2 | objective=34.265781 | sum_rate=30.252701 | r_p=21.242638 | r_c=1604.301442 | r_s=0.012031 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=65/500 | active_users=2 | updated_users=2 | objective=34.273067 | sum_rate=30.260141 | r_p=21.269072 | r_c=1628.953062 | r_s=0.008027 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=70/500 | active_users=2 | updated_users=2 | objective=34.274231 | sum_rate=30.259016 | r_p=21.204657 | r_c=1646.621341 | r_s=0.007256 | status=running
