Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=25/1000 | objective=2.728083 | rate=15.202551 | power=29.999945 | r_p=4.797449 | r_c=6.422875 | r_s=0.007852 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=26/1000 | objective=2.937579 | rate=15.205427 | power=29.999939 | r_p=4.794573 | r_c=6.649042 | r_s=0.008133 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=27/1000 | objective=3.148177 | rate=15.208095 | power=29.999945 | r_p=4.791905 | r_c=6.875094 | r_s=0.008325 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=28/1000 | objective=3.362472 | rate=15.210202 | power=29.999939 | r_p=4.789798 | r_c=7.101593 | r_s=0.008327 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=29/1000 | objective=3.582030 | rate=15.211550 | power=29.999945 | r_p=4.788450 | r_c=7.328952 | r_s=0.008117 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=30/1000 | objective=3.806587 | rate=15.212193 | power=29.999945 | r_p=4.787807 | r_c=7.557230 | r_s=0.007684 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=31/1000 | objective=4.035246 | rate=15.212270 | power=29.999945 | r_p=4.787730 | r_c=7.786335 | r_s=0.007068 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=32/1000 | objective=4.266191 | rate=15.212039 | power=29.999935 | r_p=4.787961 | r_c=8.015945 | r_s=0.006321 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=33/1000 | objective=4.497664 | rate=15.211742 | power=29.999945 | r_p=4.788258 | r_c=8.245701 | r_s=0.005520 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=34/1000 | objective=4.728063 | rate=15.211594 | power=29.999939 | r_p=4.788406 | r_c=8.475239 | r_s=0.004784 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=35/1000 | objective=4.956640 | rate=15.211687 | power=29.999939 | r_p=4.788313 | r_c=8.704357 | r_s=0.004264 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=36/1000 | objective=5.183022 | rate=15.212066 | power=29.999945 | r_p=4.787934 | r_c=8.932930 | r_s=0.004064 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=37/1000 | objective=5.407976 | rate=15.212623 | power=29.999945 | r_p=4.787377 | r_c=9.161108 | r_s=0.004131 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=38/1000 | objective=5.632370 | rate=15.213242 | power=29.999945 | r_p=4.786758 | r_c=9.389084 | r_s=0.004291 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=39/1000 | objective=5.857270 | rate=15.213784 | power=29.999945 | r_p=4.786216 | r_c=9.617124 | r_s=0.004387 | status=running
