Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=29/100 | objective=-16.013904 | rate=16.282089 | r_p=0.820690 | r_c=0.274920 | r_s=0.001473 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=30/100 | objective=-16.007679 | rate=16.282511 | r_p=0.820426 | r_c=0.281563 | r_s=0.001353 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=31/100 | objective=-16.000718 | rate=16.282321 | r_p=0.820543 | r_c=0.288336 | r_s=0.001226 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=32/100 | objective=-15.993563 | rate=16.281974 | r_p=0.820758 | r_c=0.295148 | r_s=0.001129 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=33/100 | objective=-15.986829 | rate=16.281976 | r_p=0.820757 | r_c=0.301884 | r_s=0.001067 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=34/100 | objective=-15.980620 | rate=16.282405 | r_p=0.820489 | r_c=0.308517 | r_s=0.001017 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=35/100 | objective=-15.973033 | rate=16.283074 | r_p=0.824541 | r_c=0.316840 | r_s=9.927021e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=36/100 | objective=-15.967154 | rate=16.283816 | r_p=0.824077 | r_c=0.323452 | r_s=9.895493e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=37/100 | objective=-15.961127 | rate=16.284429 | r_p=0.823694 | r_c=0.330087 | r_s=9.733257e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=38/100 | objective=-15.954706 | rate=16.284719 | r_p=0.823511 | r_c=0.336795 | r_s=9.154363e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=39/100 | objective=-15.947866 | rate=16.284672 | r_p=0.823538 | r_c=0.343588 | r_s=8.280167e-04 | status=running
