Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=25/1000 | objective=1.710476 | rate=12.924500 | power=29.999935 | r_p=7.075500 | r_c=14.634976 | r_s=0.011005 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=26/1000 | objective=1.933930 | rate=13.012795 | power=29.999939 | r_p=6.987205 | r_c=14.946726 | r_s=0.011052 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=27/1000 | objective=2.143132 | rate=13.099740 | power=29.998602 | r_p=6.900260 | r_c=15.242873 | r_s=0.011091 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=28/1000 | objective=2.353903 | rate=13.180693 | power=29.999945 | r_p=6.819307 | r_c=15.534596 | r_s=0.010363 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=29/1000 | objective=2.552541 | rate=13.260303 | power=29.999939 | r_p=6.739697 | r_c=15.812843 | r_s=0.010391 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=30/1000 | objective=2.739210 | rate=13.338684 | power=29.999939 | r_p=6.661316 | r_c=16.077895 | r_s=0.010411 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=31/1000 | objective=2.914673 | rate=13.415768 | power=29.999939 | r_p=6.584232 | r_c=16.330441 | r_s=0.010424 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=32/1000 | objective=3.079828 | rate=13.491447 | power=29.999935 | r_p=6.508553 | r_c=16.571275 | r_s=0.010430 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=33/1000 | objective=3.235517 | rate=13.565640 | power=29.999939 | r_p=6.434360 | r_c=16.801158 | r_s=0.010428 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=34/1000 | objective=3.382601 | rate=13.638264 | power=29.999939 | r_p=6.361736 | r_c=17.020864 | r_s=0.010420 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=35/1000 | objective=3.521789 | rate=13.709277 | power=29.999939 | r_p=6.290723 | r_c=17.231066 | r_s=0.010405 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=36/1000 | objective=3.653918 | rate=13.778609 | power=29.999935 | r_p=6.221391 | r_c=17.432527 | r_s=0.010384 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=37/1000 | objective=3.779865 | rate=13.846180 | power=29.999939 | r_p=6.153820 | r_c=17.626045 | r_s=0.010356 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=38/1000 | objective=3.900246 | rate=13.911980 | power=29.999939 | r_p=6.088020 | r_c=17.812225 | r_s=0.010322 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=39/1000 | objective=4.015775 | rate=13.975970 | power=29.999939 | r_p=6.024030 | r_c=17.991746 | r_s=0.010282 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=40/1000 | objective=4.127211 | rate=14.038105 | power=29.999945 | r_p=5.961895 | r_c=18.165317 | r_s=0.010237 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=41/1000 | objective=4.235207 | rate=14.098362 | power=29.999945 | r_p=5.901638 | r_c=18.333570 | r_s=0.010186 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=42/1000 | objective=4.340317 | rate=14.156742 | power=29.999939 | r_p=5.843258 | r_c=18.497058 | r_s=0.010129 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=43/1000 | objective=4.443182 | rate=14.213223 | power=29.999939 | r_p=5.786777 | r_c=18.656404 | r_s=0.010068 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=44/1000 | objective=4.544307 | rate=14.267812 | power=29.999945 | r_p=5.732188 | r_c=18.812118 | r_s=0.010001 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=45/1000 | objective=4.644313 | rate=14.320489 | power=29.999945 | r_p=5.679511 | r_c=18.964801 | r_s=0.009930 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=46/1000 | objective=4.743608 | rate=14.371280 | power=29.999939 | r_p=5.628720 | r_c=19.114886 | r_s=0.009854 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=47/1000 | objective=4.842701 | rate=14.420183 | power=29.999939 | r_p=5.579817 | r_c=19.262884 | r_s=0.009774 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=48/1000 | objective=4.942021 | rate=14.467216 | power=29.999939 | r_p=5.532784 | r_c=19.409236 | r_s=0.009690 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=49/1000 | objective=5.041971 | rate=14.512394 | power=29.999935 | r_p=5.487606 | r_c=19.554366 | r_s=0.009602 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=50/1000 | objective=5.142891 | rate=14.555748 | power=29.999939 | r_p=5.444252 | r_c=19.698639 | r_s=0.009510 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=51/1000 | objective=5.245164 | rate=14.597293 | power=29.999939 | r_p=5.402707 | r_c=19.842456 | r_s=0.009415 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=52/1000 | objective=5.349079 | rate=14.637062 | power=29.999939 | r_p=5.362938 | r_c=19.986140 | r_s=0.009316 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=53/1000 | objective=5.454967 | rate=14.675076 | power=29.999939 | r_p=5.324924 | r_c=20.130044 | r_s=0.009214 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=54/1000 | objective=5.563093 | rate=14.711369 | power=29.999939 | r_p=5.288631 | r_c=20.274463 | r_s=0.009109 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=55/1000 | objective=5.673702 | rate=14.745972 | power=29.999939 | r_p=5.254028 | r_c=20.419675 | r_s=0.009001 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=56/1000 | objective=5.787012 | rate=14.778921 | power=29.999945 | r_p=5.221079 | r_c=20.565934 | r_s=0.008891 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=57/1000 | objective=5.903158 | rate=14.810266 | power=29.999945 | r_p=5.189734 | r_c=20.713424 | r_s=0.008777 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=58/1000 | objective=6.022449 | rate=14.840018 | power=29.999939 | r_p=5.159982 | r_c=20.862467 | r_s=0.008661 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=59/1000 | objective=6.145011 | rate=14.868222 | power=29.999945 | r_p=5.131778 | r_c=21.013234 | r_s=0.008542 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=60/1000 | objective=6.296200 | rate=14.890018 | power=29.972685 | r_p=5.109982 | r_c=21.186221 | r_s=0.008430 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=61/1000 | objective=6.413147 | rate=14.917759 | power=29.999939 | r_p=5.082241 | r_c=21.330905 | r_s=0.007759 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=62/1000 | objective=6.558060 | rate=14.939363 | power=29.999945 | r_p=5.060637 | r_c=21.497422 | r_s=0.007568 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=63/1000 | objective=6.705947 | rate=14.959786 | power=29.999935 | r_p=5.040214 | r_c=21.665733 | r_s=0.007401 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=64/1000 | objective=6.856717 | rate=14.979093 | power=29.999939 | r_p=5.020907 | r_c=21.835808 | r_s=0.007239 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=65/1000 | objective=7.010439 | rate=14.997313 | power=29.999939 | r_p=5.002687 | r_c=22.007750 | r_s=0.007084 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=66/1000 | objective=7.167077 | rate=15.014495 | power=29.999939 | r_p=4.985505 | r_c=22.181571 | r_s=0.006933 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=67/1000 | objective=7.326716 | rate=15.030663 | power=29.999939 | r_p=4.969337 | r_c=22.357380 | r_s=0.006785 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=68/1000 | objective=7.489326 | rate=15.045862 | power=29.999935 | r_p=4.954138 | r_c=22.535188 | r_s=0.006641 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=69/1000 | objective=7.654795 | rate=15.060146 | power=29.999939 | r_p=4.939854 | r_c=22.714940 | r_s=0.006500 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=70/1000 | objective=7.823250 | rate=15.073526 | power=29.999939 | r_p=4.926474 | r_c=22.896775 | r_s=0.006360 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=71/1000 | objective=7.994680 | rate=15.086037 | power=29.999939 | r_p=4.913963 | r_c=23.080716 | r_s=0.006222 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=72/1000 | objective=8.168867 | rate=15.097746 | power=29.999939 | r_p=4.902254 | r_c=23.266613 | r_s=0.006084 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=73/1000 | objective=8.346008 | rate=15.108648 | power=29.999939 | r_p=4.891352 | r_c=23.454656 | r_s=0.005947 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=74/1000 | objective=8.525940 | rate=15.118799 | power=29.999945 | r_p=4.881201 | r_c=23.644738 | r_s=0.005810 | status=running
