[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=remaining_bits_weighted_sum_rate
    weight_strategy=remaining_bits | user_weights: u0=0.500, u1=0.750, u2=1.000
[DL Convergence] | phase=optimize | block=0 | epoch=150/500 | active_users=3 | updated_users=3 | objective=13.572823 | sum_rate=16.883726 | r_p=29.578070 | r_c=1402.578699 | r_s=0.004346 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=155/500 | active_users=3 | updated_users=3 | objective=13.888968 | sum_rate=17.315933 | r_p=29.477592 | r_c=1441.350620 | r_s=0.004357 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=160/500 | active_users=3 | updated_users=3 | objective=14.205959 | sum_rate=17.734087 | r_p=29.365294 | r_c=1479.075644 | r_s=0.004379 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=165/500 | active_users=3 | updated_users=3 | objective=14.523079 | sum_rate=18.146803 | r_p=29.249504 | r_c=1516.122137 | r_s=0.004402 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=170/500 | active_users=3 | updated_users=3 | objective=14.838533 | sum_rate=18.553566 | r_p=29.132956 | r_c=1552.618561 | r_s=0.004406 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=175/500 | active_users=3 | updated_users=3 | objective=15.151690 | sum_rate=18.956587 | r_p=29.014763 | r_c=1588.515423 | r_s=0.004409 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=180/500 | active_users=3 | updated_users=3 | objective=15.462386 | sum_rate=19.353546 | r_p=28.891121 | r_c=1623.589228 | r_s=0.004407 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=185/500 | active_users=3 | updated_users=3 | objective=15.769176 | sum_rate=19.744577 | r_p=28.765808 | r_c=1658.029764 | r_s=0.004420 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=190/500 | active_users=3 | updated_users=3 | objective=16.072849 | sum_rate=20.123856 | r_p=28.629105 | r_c=1691.248803 | r_s=0.004429 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=195/500 | active_users=3 | updated_users=3 | objective=16.371317 | sum_rate=20.495354 | r_p=28.491093 | r_c=1723.800097 | r_s=0.004437 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=200/500 | active_users=3 | updated_users=3 | objective=16.665611 | sum_rate=20.860851 | r_p=28.348366 | r_c=1755.468421 | r_s=0.004450 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=205/500 | active_users=3 | updated_users=3 | objective=16.956631 | sum_rate=21.221861 | r_p=28.196758 | r_c=1785.961530 | r_s=0.004468 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=210/500 | active_users=3 | updated_users=3 | objective=17.241684 | sum_rate=21.576828 | r_p=28.045864 | r_c=1815.860728 | r_s=0.004472 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=215/500 | active_users=3 | updated_users=3 | objective=17.520971 | sum_rate=21.923817 | r_p=27.892975 | r_c=1844.990848 | r_s=0.004492 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=220/500 | active_users=3 | updated_users=3 | objective=17.794785 | sum_rate=22.259031 | r_p=27.732700 | r_c=1872.978431 | r_s=0.004487 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=225/500 | active_users=3 | updated_users=3 | objective=18.061445 | sum_rate=22.585056 | r_p=27.571640 | r_c=1900.243852 | r_s=0.004503 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=230/500 | active_users=3 | updated_users=3 | objective=18.320862 | sum_rate=22.900633 | r_p=27.409542 | r_c=1926.767585 | r_s=0.004502 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=235/500 | active_users=3 | updated_users=3 | objective=18.571741 | sum_rate=23.207762 | r_p=27.251991 | r_c=1952.953840 | r_s=0.004512 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=240/500 | active_users=3 | updated_users=3 | objective=18.811817 | sum_rate=23.504826 | r_p=27.106199 | r_c=1979.361035 | r_s=0.004534 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=245/500 | active_users=3 | updated_users=3 | objective=19.042131 | sum_rate=23.788130 | r_p=26.963562 | r_c=2005.410647 | r_s=0.004540 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=250/500 | active_users=3 | updated_users=3 | objective=19.258842 | sum_rate=24.058844 | r_p=26.838987 | r_c=2032.261367 | r_s=0.004555 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=255/500 | active_users=3 | updated_users=3 | objective=19.465107 | sum_rate=24.323771 | r_p=26.727077 | r_c=2059.592815 | r_s=0.004557 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=260/500 | active_users=3 | updated_users=3 | objective=19.660614 | sum_rate=24.577103 | r_p=26.626762 | r_c=2087.391757 | r_s=0.004578 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=265/500 | active_users=3 | updated_users=3 | objective=19.847580 | sum_rate=24.822575 | r_p=26.532326 | r_c=2115.260677 | r_s=0.004582 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=270/500 | active_users=3 | updated_users=3 | objective=20.025530 | sum_rate=25.056725 | r_p=26.444685 | r_c=2143.308056 | r_s=0.004601 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=275/500 | active_users=3 | updated_users=3 | objective=20.195545 | sum_rate=25.282324 | r_p=26.362534 | r_c=2171.463012 | r_s=0.004609 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=280/500 | active_users=3 | updated_users=3 | objective=20.357141 | sum_rate=25.500589 | r_p=26.290394 | r_c=2200.135644 | r_s=0.004609 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=285/500 | active_users=3 | updated_users=3 | objective=20.511854 | sum_rate=25.709042 | r_p=26.220997 | r_c=2228.758757 | r_s=0.004623 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=290/500 | active_users=3 | updated_users=3 | objective=20.660557 | sum_rate=25.909859 | r_p=26.155151 | r_c=2257.418371 | r_s=0.004620 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=295/500 | active_users=3 | updated_users=3 | objective=20.803532 | sum_rate=26.100746 | r_p=26.089527 | r_c=2285.838993 | r_s=0.004649 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=300/500 | active_users=3 | updated_users=3 | objective=20.940655 | sum_rate=26.284201 | r_p=26.026903 | r_c=2314.270756 | r_s=0.004670 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=305/500 | active_users=3 | updated_users=3 | objective=21.071873 | sum_rate=26.460733 | r_p=25.969296 | r_c=2342.912730 | r_s=0.004700 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=310/500 | active_users=3 | updated_users=3 | objective=21.198658 | sum_rate=26.628525 | r_p=25.908781 | r_c=2371.062226 | r_s=0.004700 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=315/500 | active_users=3 | updated_users=3 | objective=21.320560 | sum_rate=26.789452 | r_p=25.852234 | r_c=2399.347395 | r_s=0.004706 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=320/500 | active_users=3 | updated_users=3 | objective=21.439236 | sum_rate=26.944729 | r_p=25.791685 | r_c=2427.033866 | r_s=0.004725 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=325/500 | active_users=3 | updated_users=3 | objective=21.553585 | sum_rate=27.090755 | r_p=25.732298 | r_c=2454.599136 | r_s=0.004741 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=330/500 | active_users=3 | updated_users=3 | objective=21.664202 | sum_rate=27.232246 | r_p=25.673536 | r_c=2481.995332 | r_s=0.004748 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=335/500 | active_users=3 | updated_users=3 | objective=21.772413 | sum_rate=27.369476 | r_p=25.612951 | r_c=2508.986288 | r_s=0.004749 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=340/500 | active_users=3 | updated_users=3 | objective=21.877075 | sum_rate=27.500988 | r_p=25.553288 | r_c=2535.836573 | r_s=0.004782 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=345/500 | active_users=3 | updated_users=3 | objective=21.980505 | sum_rate=27.629551 | r_p=25.490013 | r_c=2562.093241 | r_s=0.004774 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=350/500 | active_users=3 | updated_users=3 | objective=22.082657 | sum_rate=27.752434 | r_p=25.421179 | r_c=2587.538530 | r_s=0.004814 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=355/500 | active_users=3 | updated_users=3 | objective=22.182013 | sum_rate=27.870575 | r_p=25.355034 | r_c=2613.000406 | r_s=0.004814 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=360/500 | active_users=3 | updated_users=3 | objective=22.281765 | sum_rate=27.987785 | r_p=25.284542 | r_c=2637.756224 | r_s=0.004839 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=365/500 | active_users=3 | updated_users=3 | objective=22.382782 | sum_rate=28.104170 | r_p=25.208523 | r_c=2661.657906 | r_s=0.004836 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=370/500 | active_users=3 | updated_users=3 | objective=22.483929 | sum_rate=28.219784 | r_p=25.133335 | r_c=2685.359668 | r_s=0.004846 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=375/500 | active_users=3 | updated_users=3 | objective=22.589859 | sum_rate=28.332405 | r_p=25.040552 | r_c=2706.867371 | r_s=0.004841 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=380/500 | active_users=3 | updated_users=3 | objective=22.700443 | sum_rate=28.448837 | r_p=24.939877 | r_c=2727.160773 | r_s=0.004851 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=385/500 | active_users=3 | updated_users=3 | objective=22.816666 | sum_rate=28.568180 | r_p=24.828472 | r_c=2745.885573 | r_s=0.004882 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=390/500 | active_users=3 | updated_users=3 | objective=22.939468 | sum_rate=28.690998 | r_p=24.706051 | r_c=2762.958464 | r_s=0.004892 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=395/500 | active_users=3 | updated_users=3 | objective=23.069618 | sum_rate=28.818237 | r_p=24.571476 | r_c=2778.197313 | r_s=0.004919 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=400/500 | active_users=3 | updated_users=3 | objective=23.207399 | sum_rate=28.950500 | r_p=24.554951 | r_c=2791.559977 | r_s=0.004929 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=405/500 | active_users=3 | updated_users=3 | objective=23.352337 | sum_rate=29.091072 | r_p=24.563671 | r_c=2803.564633 | r_s=0.004950 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=410/500 | active_users=3 | updated_users=3 | objective=23.503922 | sum_rate=29.232632 | r_p=24.571049 | r_c=2813.644438 | r_s=0.004955 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=415/500 | active_users=3 | updated_users=3 | objective=23.662521 | sum_rate=29.382647 | r_p=24.584383 | r_c=2822.114989 | r_s=0.004973 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=420/500 | active_users=3 | updated_users=3 | objective=23.826881 | sum_rate=29.535503 | r_p=24.598635 | r_c=2840.728258 | r_s=0.004991 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=425/500 | active_users=3 | updated_users=3 | objective=23.995138 | sum_rate=29.694096 | r_p=24.612511 | r_c=2872.608883 | r_s=0.005001 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=430/500 | active_users=3 | updated_users=3 | objective=24.165279 | sum_rate=29.855888 | r_p=24.626848 | r_c=2904.595901 | r_s=0.005023 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=435/500 | active_users=3 | updated_users=3 | objective=24.334610 | sum_rate=30.019196 | r_p=24.635452 | r_c=2935.949649 | r_s=0.005017 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=440/500 | active_users=3 | updated_users=3 | objective=24.503065 | sum_rate=30.179686 | r_p=24.646143 | r_c=2967.588208 | r_s=0.005038 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=445/500 | active_users=3 | updated_users=3 | objective=24.665575 | sum_rate=30.334244 | r_p=24.650270 | r_c=2998.463695 | r_s=0.004975 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=450/500 | active_users=3 | updated_users=3 | objective=24.819921 | sum_rate=30.484489 | r_p=24.651712 | r_c=3029.022843 | r_s=0.005057 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=455/500 | active_users=3 | updated_users=3 | objective=24.965216 | sum_rate=30.629383 | r_p=24.653149 | r_c=3059.586691 | r_s=0.005069 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=460/500 | active_users=3 | updated_users=3 | objective=25.098711 | sum_rate=30.765738 | r_p=24.649492 | r_c=3089.515603 | r_s=0.005039 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=465/500 | active_users=3 | updated_users=3 | objective=25.219814 | sum_rate=30.886734 | r_p=24.642555 | r_c=3119.012912 | r_s=0.005078 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=470/500 | active_users=3 | updated_users=3 | objective=25.328892 | sum_rate=31.001835 | r_p=24.629612 | r_c=3147.716332 | r_s=0.005082 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=475/500 | active_users=3 | updated_users=3 | objective=25.427261 | sum_rate=31.109325 | r_p=24.609760 | r_c=3175.475697 | r_s=0.005078 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=480/500 | active_users=3 | updated_users=3 | objective=25.516068 | sum_rate=31.208347 | r_p=24.587021 | r_c=3202.785507 | r_s=0.005112 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=485/500 | active_users=3 | updated_users=3 | objective=25.599129 | sum_rate=31.305540 | r_p=24.565907 | r_c=3230.225387 | r_s=0.005128 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=490/500 | active_users=3 | updated_users=3 | objective=25.674553 | sum_rate=31.397268 | r_p=24.541580 | r_c=3257.160186 | r_s=0.005136 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=495/500 | active_users=3 | updated_users=3 | objective=25.744110 | sum_rate=31.480562 | r_p=24.517418 | r_c=3284.026947 | r_s=0.005135 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=500/500 | active_users=3 | updated_users=3 | objective=25.807961 | sum_rate=31.562710 | r_p=24.491146 | r_c=3310.518868 | r_s=0.005157 | status=running
  user=00 block=00 serves partial bits at n=T; not reducing n_kl.
  user=01 block=00 serves partial bits at n=T; not reducing n_kl.
  user=02 block=00 serves partial bits at n=T; not reducing n_kl.
[DL Convergence Allocation] | user=0 | block=0 | served_bits=354 | n_kl=50 | required_rate=7.080000 | achieved_rate=7.088409 | rate_margin=0.008409
[DL Convergence Allocation] | user=1 | block=0 | served_bits=530 | n_kl=60 | required_rate=8.833333 | achieved_rate=8.842179 | rate_margin=0.008845
[DL Convergence Allocation] | user=2 | block=0 | served_bits=1250 | n_kl=80 | required_rate=15.625000 | achieved_rate=15.632121 | rate_margin=0.007121
[DL Convergence Block] | block=0 | status=complete | allocated_bits=2134 | remaining_bits=3866
[DL Convergence Block] | block=1 | active_users=3 | remaining_bits=3866 | objective=remaining_bits_weighted_sum_rate
    weight_strategy=remaining_bits | user_weights: u0=0.527, u1=0.880, u2=1.000
[DL Convergence] | phase=optimize | block=1 | epoch=1/500 | active_users=3 | updated_users=3 | objective=2.796443 | sum_rate=4.774819 | r_p=24.526291 | r_c=2.452629 | r_s=0.204059 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=5/500 | active_users=3 | updated_users=3 | objective=3.068007 | sum_rate=5.133398 | r_p=24.442883 | r_c=26.395248 | r_s=0.005595 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=10/500 | active_users=3 | updated_users=3 | objective=3.431220 | sum_rate=5.596406 | r_p=24.306934 | r_c=55.892044 | r_s=0.005596 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=15/500 | active_users=3 | updated_users=3 | objective=3.820409 | sum_rate=6.076066 | r_p=24.136608 | r_c=84.755729 | r_s=0.005582 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=20/500 | active_users=3 | updated_users=3 | objective=4.235499 | sum_rate=6.573787 | r_p=23.929934 | r_c=112.813974 | r_s=0.005565 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=25/500 | active_users=3 | updated_users=3 | objective=4.674844 | sum_rate=7.090316 | r_p=23.688295 | r_c=139.906195 | r_s=0.005545 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=30/500 | active_users=3 | updated_users=3 | objective=5.133973 | sum_rate=7.619090 | r_p=23.421103 | r_c=165.945589 | r_s=0.005534 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=35/500 | active_users=3 | updated_users=3 | objective=5.606896 | sum_rate=8.158664 | r_p=23.140472 | r_c=190.927412 | r_s=0.005515 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=40/500 | active_users=3 | updated_users=3 | objective=6.084892 | sum_rate=8.702250 | r_p=22.851337 | r_c=214.848628 | r_s=0.005500 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=45/500 | active_users=3 | updated_users=3 | objective=6.563967 | sum_rate=9.246836 | r_p=22.579796 | r_c=237.969479 | r_s=0.005497 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=50/500 | active_users=3 | updated_users=3 | objective=7.035359 | sum_rate=9.780878 | r_p=22.331087 | r_c=260.447762 | r_s=0.005476 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=55/500 | active_users=3 | updated_users=3 | objective=7.490391 | sum_rate=10.294310 | r_p=22.103600 | r_c=282.371548 | r_s=0.005437 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=60/500 | active_users=3 | updated_users=3 | objective=7.928707 | sum_rate=10.790653 | r_p=21.902998 | r_c=303.926171 | r_s=0.005411 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=65/500 | active_users=3 | updated_users=3 | objective=8.350943 | sum_rate=11.277359 | r_p=21.723921 | r_c=325.153158 | r_s=0.005370 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=70/500 | active_users=3 | updated_users=3 | objective=8.751549 | sum_rate=11.736088 | r_p=21.559566 | r_c=346.038573 | r_s=0.005361 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=75/500 | active_users=3 | updated_users=3 | objective=9.131720 | sum_rate=12.168943 | r_p=21.402849 | r_c=366.527639 | r_s=0.005358 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=80/500 | active_users=3 | updated_users=3 | objective=9.495998 | sum_rate=12.584102 | r_p=21.245838 | r_c=386.507856 | r_s=0.005281 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=85/500 | active_users=3 | updated_users=3 | objective=9.848426 | sum_rate=12.984679 | r_p=21.086239 | r_c=405.936546 | r_s=0.005270 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=90/500 | active_users=3 | updated_users=3 | objective=10.194786 | sum_rate=13.374892 | r_p=20.925797 | r_c=424.843558 | r_s=0.005213 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=95/500 | active_users=3 | updated_users=3 | objective=10.537739 | sum_rate=13.760007 | r_p=20.759344 | r_c=443.116501 | r_s=0.005155 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=100/500 | active_users=3 | updated_users=3 | objective=10.880117 | sum_rate=14.142500 | r_p=20.580444 | r_c=460.586506 | r_s=0.005106 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=105/500 | active_users=3 | updated_users=3 | objective=11.228914 | sum_rate=14.531511 | r_p=20.393650 | r_c=477.316474 | r_s=0.005100 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=110/500 | active_users=3 | updated_users=3 | objective=11.585822 | sum_rate=14.929850 | r_p=20.193232 | r_c=493.137413 | r_s=0.005057 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=115/500 | active_users=3 | updated_users=3 | objective=11.952950 | sum_rate=15.340094 | r_p=19.979124 | r_c=507.996375 | r_s=0.004997 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=120/500 | active_users=3 | updated_users=3 | objective=12.328363 | sum_rate=15.754621 | r_p=19.750301 | r_c=521.818519 | r_s=0.004973 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=125/500 | active_users=3 | updated_users=3 | objective=12.712113 | sum_rate=16.174360 | r_p=19.504047 | r_c=534.477593 | r_s=0.004927 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=130/500 | active_users=3 | updated_users=3 | objective=13.105564 | sum_rate=16.604267 | r_p=19.242605 | r_c=545.979052 | r_s=0.004885 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=135/500 | active_users=3 | updated_users=3 | objective=13.506063 | sum_rate=17.037918 | r_p=18.965355 | r_c=556.255502 | r_s=0.004860 | status=running
[DL Convergence] | phase=optimize | block=1 | epoch=140/500 | active_users=3 | updated_users=3 | objective=13.911070 | sum_rate=17.481236 | r_p=18.666748 | r_c=565.088015 | r_s=0.004861 | status=running
