Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_205957_conv_upd_net_loss_plain_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_205957_conv_upd_net_loss_plain_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_205957_conv_upd_net_loss_plain_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/1000 | objective=-11.816697 | rate=12.560634 | power=29.999939 | r_p=7.439366 | r_c=0.743937 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/1000 | objective=-10.135004 | rate=11.599924 | power=29.999945 | r_p=8.400076 | r_c=1.464920 | r_s=1.077039 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/1000 | objective=-12.458539 | rate=14.007077 | power=29.999945 | r_p=5.992923 | r_c=1.548538 | r_s=0.453622 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/1000 | objective=-13.188653 | rate=14.833327 | power=29.999945 | r_p=5.166673 | r_c=1.644674 | r_s=0.329009 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/1000 | objective=-12.986683 | rate=14.880754 | power=29.999939 | r_p=5.119246 | r_c=1.894072 | r_s=0.195837 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/1000 | objective=-12.784021 | rate=14.922554 | power=29.999939 | r_p=5.077446 | r_c=2.138533 | r_s=0.119817 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/1000 | objective=-12.659323 | rate=15.012982 | power=29.999935 | r_p=4.987018 | r_c=2.353659 | r_s=0.091493 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/1000 | objective=-12.516510 | rate=15.082563 | power=29.999945 | r_p=4.917437 | r_c=2.566053 | r_s=0.081534 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/1000 | objective=-12.322628 | rate=15.113072 | power=29.999945 | r_p=4.886928 | r_c=2.790445 | r_s=0.067382 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/1000 | objective=-12.114541 | rate=15.132046 | power=29.999939 | r_p=4.867954 | r_c=3.017504 | r_s=0.053579 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/1000 | objective=-11.908757 | rate=15.150736 | power=29.999945 | r_p=4.849264 | r_c=3.241979 | r_s=0.044702 | status=running
