Resolved Monte Carlo train seeds: [1, 2]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | channel_episodes=2 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=10/100 | objective=37.702564 | rate=11.003264 | r_p=17.389019 | r_c=52.678376 | r_s=0.005447 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=10/100 | objective=500.044557 | rate=13.177715 | r_p=42.933162 | r_c=553.727416 | r_s=0.006566 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=11/100 | objective=160.467861 | rate=11.361292 | r_p=25.826282 | r_c=177.702149 | r_s=0.003815 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=11/100 | objective=41.488733 | rate=10.986381 | r_p=17.658873 | r_c=56.614231 | r_s=0.005230 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=11/100 | objective=548.911464 | rate=13.178930 | r_p=42.806191 | r_c=592.947826 | r_s=0.005329 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=12/100 | objective=167.135027 | rate=11.362276 | r_p=25.826010 | r_c=184.370108 | r_s=0.003661 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=12/100 | objective=42.767261 | rate=10.992686 | r_p=17.087078 | r_c=57.700744 | r_s=0.004751 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=12/100 | objective=590.663506 | rate=13.179334 | r_p=42.868853 | r_c=638.479039 | r_s=0.004645 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=13/100 | objective=173.077296 | rate=11.363090 | r_p=25.724189 | r_c=190.260551 | r_s=0.003461 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=13/100 | objective=46.079649 | rate=10.992987 | r_p=17.203259 | r_c=61.052592 | r_s=0.004350 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=13/100 | objective=636.578274 | rate=13.179708 | r_p=42.805780 | r_c=754.271195 | r_s=0.004549 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=14/100 | objective=179.689916 | rate=11.364130 | r_p=25.723674 | r_c=196.873817 | r_s=0.003131 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=14/100 | objective=48.438109 | rate=10.994259 | r_p=17.034187 | r_c=63.354210 | r_s=0.004086 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=14/100 | objective=750.922484 | rate=13.178310 | r_p=42.806802 | r_c=799.078994 | r_s=0.003535 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=15/100 | objective=186.291150 | rate=11.366643 | r_p=25.721908 | r_c=203.476464 | r_s=0.003094 | status=running
